2025-02-11 21:17:33,120 INFO    MainThread:7440 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_setup.py:_flush():68] Configure stats pid to 7440
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Simon\.config\wandb\settings
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Simon\Bachelorarbeit\EQL\eql\wandb\settings
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_init.py:setup_run_log_directory():624] Logging user logs to C:\Users\Simon\Bachelorarbeit\EQL\eql\wandb\run-20250211_211733-fnrrpd46\logs\debug.log
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to C:\Users\Simon\Bachelorarbeit\EQL\eql\wandb\run-20250211_211733-fnrrpd46\logs\debug-internal.log
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_init.py:init():743] calling init triggers
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_init.py:init():748] wandb.init called with sweep_config: {'_target_': 'jax.random.PRNGKey', 'batchsize': 10000, 'depth': 2, 'epochs': 20000, 'in_size': 4, 'l0_threshold': 0.001, 'loss_type': 'mse', 'lr_start': 0.001, 'out_size': 1, 'seed': 1, 'width_size': 21}
config: {'in_size': 4, 'out_size': 1, 'width_size': 21, 'depth': 2, '_target_': 'jax.random.PRNGKey', 'seed': 0, 'epochs': 20000, 'batchsize': 10000, 'loss_type': 'mse', 'lr_start': 0.0001, 'l0_threshold': 0.001, 'wandb': {'setup': {'entity': 'simonb03-university-of-t-bingen'}}, 'sweep': {'program': 'main_normal.py', 'name': 'sweep_normal', 'metric': {'name': 'val_loss', 'goal': 'minimize'}, 'method': 'grid', 'parameters': {'in_size': {'values': [1, 2, 4]}, 'out_size': {'value': 1}, 'width_size': {'values': [6, 15, 21]}, 'depth': {'values': [1, 2]}, '_target_': {'value': 'jax.random.PRNGKey'}, 'seed': {'values': [0, 1]}, 'epochs': {'value': 20000}, 'batchsize': {'value': 10000}, 'loss_type': {'value': 'mse'}, 'lr_start': {'values': [0.001, 0.0001]}, 'l0_threshold': {'value': 0.001}}, 'command': ['C:/Users/Simon/.conda/envs/EQL/python.exe', 'main_normal.py']}}
2025-02-11 21:17:33,122 INFO    MainThread:7440 [wandb_init.py:init():776] starting backend
2025-02-11 21:17:35,153 INFO    MainThread:7440 [wandb_init.py:init():780] sending inform_init request
2025-02-11 21:17:35,171 INFO    MainThread:7440 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-02-11 21:17:35,173 INFO    MainThread:7440 [wandb_init.py:init():795] backend started and connected
2025-02-11 21:17:35,174 INFO    MainThread:7440 [wandb_run.py:_config_callback():1270] config_cb None None {'_target_': 'jax.random.PRNGKey', 'batchsize': 10000, 'depth': 2, 'epochs': 20000, 'in_size': 4, 'l0_threshold': 0.001, 'loss_type': 'mse', 'lr_start': 0.001, 'out_size': 1, 'seed': 1, 'width_size': 21}
2025-02-11 21:17:35,174 INFO    MainThread:7440 [wandb_init.py:init():888] updated telemetry
2025-02-11 21:17:35,217 INFO    MainThread:7440 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-02-11 21:17:35,641 INFO    MainThread:7440 [wandb_init.py:init():967] starting run threads in backend
2025-02-11 21:17:37,968 INFO    MainThread:7440 [wandb_run.py:_console_start():2409] atexit reg
2025-02-11 21:17:37,968 INFO    MainThread:7440 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-02-11 21:17:37,968 INFO    MainThread:7440 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-02-11 21:17:37,968 INFO    MainThread:7440 [wandb_run.py:_redirect():2349] Redirects installed.
2025-02-11 21:17:37,981 INFO    MainThread:7440 [wandb_init.py:init():1009] run started, returning control to user process
2025-02-11 21:19:14,186 INFO    MainThread:7440 [wandb_run.py:_finish():2134] finishing run simonb03-university-of-t-bingen/sweep_normal/fnrrpd46
2025-02-11 21:19:14,186 INFO    MainThread:7440 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-02-11 21:19:14,188 INFO    MainThread:7440 [wandb_run.py:_restore():2356] restore
2025-02-11 21:19:14,188 INFO    MainThread:7440 [wandb_run.py:_restore():2362] restore done
2025-02-11 21:19:19,372 INFO    MainThread:7440 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-02-11 21:19:19,372 INFO    MainThread:7440 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-02-11 21:19:19,372 INFO    MainThread:7440 [wandb_run.py:_footer_sync_info():3937] logging synced files
