Step,silvery-sweep-90,warm-sweep-89,fast-sweep-88,different-sweep-87,glad-sweep-86,apricot-sweep-85,royal-sweep-84,dazzling-sweep-83,zany-sweep-82,divine-sweep-81,comfy-sweep-80,gallant-sweep-79,comfy-sweep-78,zesty-sweep-77,glowing-sweep-76,likely-sweep-75,eternal-sweep-74,glamorous-sweep-73,upbeat-sweep-72,firm-sweep-71,lucky-sweep-69,electric-sweep-70,proud-sweep-68,quiet-sweep-67,graceful-sweep-66,dashing-sweep-65,sparkling-sweep-64,solar-sweep-63,neat-sweep-62,rich-sweep-61,lilac-sweep-60,classic-sweep-59,lively-sweep-58,likely-sweep-57,serene-sweep-56,ethereal-sweep-55,upbeat-sweep-54,zany-sweep-53,breezy-sweep-51,fanciful-sweep-52,whole-sweep-50,helpful-sweep-49,rich-sweep-48,upbeat-sweep-47,colorful-sweep-46,chocolate-sweep-45,dainty-sweep-44,happy-sweep-43,rural-sweep-42,polar-sweep-41,happy-sweep-40,leafy-sweep-39,grateful-sweep-38,ancient-sweep-37,helpful-sweep-36,rich-sweep-35,copper-sweep-34,whole-sweep-33,worthy-sweep-32,rosy-sweep-31,easy-sweep-30,upbeat-sweep-29,sandy-sweep-28,floral-sweep-27,drawn-sweep-26,worthy-sweep-25,atomic-sweep-24,misty-sweep-23,autumn-sweep-21,laced-sweep-22,young-sweep-20,trim-sweep-19,stoic-sweep-18,solar-sweep-17,glowing-sweep-16,sleek-sweep-15,glorious-sweep-14,gallant-sweep-13,lyric-sweep-11,pious-sweep-12,astral-sweep-10,bumbling-sweep-9,azure-sweep-8,proud-sweep-7,fanciful-sweep-6,wandering-sweep-5,frosty-sweep-4,playful-sweep-3,major-sweep-2,devoted-sweep-1
0,0.05906904488801956,0.17715822160243988,0.22180050611495972,0.07224641740322113,0.14012563228607178,0.2396579086780548,0.05680163949728012,0.08763613551855087,0.31297698616981506,0.0675833597779274,0.12186887115240097,0.26865312457084656,0.10301036387681961,0.11821801960468292,0.3223308324813843,0.08249660581350327,0.09559527039527893,0.3078371584415436,0.07436356693506241,0.11076079308986664,0.09474413096904755,0.3247753977775574,0.09492400288581848,0.35245946049690247,0.06101386994123459,0.12147252261638641,0.2790442109107971,0.04610884189605713,0.1235467791557312,0.3367804288864136,0.18357332050800323,0.28950804471969604,0.43398234248161316,0.18020828068256378,0.3189145028591156,0.38966310024261475,0.19307181239128113,0.2871752381324768,0.21871411800384521,0.44159331917762756,0.29658040404319763,0.3824181854724884,0.1637137085199356,0.2542138397693634,0.4983050227165222,0.19290752708911896,0.2720670998096466,0.4503129720687866,0.16365617513656616,0.31078606843948364,0.5430867075920105,0.21818408370018005,0.3233693838119507,0.5080236792564392,0.1903601437807083,0.27289703488349915,0.4757237434387207,0.21303197741508484,0.2331138253211975,0.4902268946170807,0.5726935267448425,0.6645428538322449,0.6886274814605713,0.5404903888702393,0.6723766922950745,0.6734042167663574,0.5566359162330627,0.6628396511077881,0.555022656917572,0.6762445569038391,0.634917676448822,0.7027132511138916,0.5484688878059387,0.6209760308265686,0.7106620669364929,0.5479437112808228,0.6523289084434509,0.7102702260017395,0.6244508624076843,0.5686370730400085,0.6917235255241394,0.5427515506744385,0.65982985496521,0.7329832315444946,0.5497494339942932,0.6240631341934204,0.6995749473571777,0.556403636932373,0.5935605764389038,0.6905778050422668
1,0.031076274812221527,0.042725127190351486,0.06316567957401276,0.035355351865291595,0.04014423489570618,0.04984258860349655,0.03139201179146767,0.03525378927588463,0.04170018807053566,0.040444791316986084,0.04452458396553993,0.06326644122600555,0.04094605892896652,0.04850190132856369,0.14606674015522003,0.03590279072523117,0.05467675253748894,0.05998280271887779,0.03144287317991257,0.03325710445642471,0.03421952202916145,0.04114047810435295,0.042689770460128784,0.056600626558065414,0.032633040100336075,0.04157186672091484,0.04314408451318741,0.036670707166194916,0.04510853439569473,0.061177004128694534,0.035471949726343155,0.05186160281300545,0.07920340448617935,0.04499845951795578,0.04452694579958916,0.08910267800092697,0.03635521978139877,0.04374464228749275,0.044510144740343094,0.08764228224754333,0.05118279904127121,0.07779105752706528,0.04375636950135231,0.07432931661605835,0.09233782440423965,0.04306460916996002,0.05982498079538345,0.08517665416002274,0.03881777077913284,0.042240116745233536,0.09500543028116226,0.040489278733730316,0.053294867277145386,0.08385779708623886,0.03867429122328758,0.05062030628323555,0.06422131508588791,0.04247761517763138,0.06767700612545013,0.10592538863420486,0.20037035644054413,0.32113248109817505,0.33500802516937256,0.18201592564582825,0.31153374910354614,0.32331520318984985,0.19831456243991852,0.2962314188480377,0.1907331347465515,0.31267037987709045,0.2863902449607849,0.34117600321769714,0.19966493546962738,0.26685139536857605,0.34641173481941223,0.18866705894470215,0.26741060614585876,0.35244446992874146,0.27850228548049927,0.1936543583869934,0.334104061126709,0.19208887219429016,0.28390389680862427,0.3618980646133423,0.18852846324443817,0.2733513414859772,0.3436066508293152,0.19559836387634277,0.25008833408355713,0.33488237857818604
2,0.025772979483008385,0.03495674207806587,0.04205740615725517,0.031191108748316765,0.031847450882196426,0.04157481715083122,0.032922882586717606,0.0283532552421093,0.02790909819304943,0.035094257444143295,0.036488160490989685,0.044619251042604446,0.04171648994088173,0.033710360527038574,0.10261990129947662,0.029399016872048378,0.03616287559270859,0.04065161198377609,0.024801839143037796,0.028480051085352898,0.02696291171014309,0.0331512875854969,0.033025503158569336,0.03464910387992859,0.02925720252096653,0.03519609197974205,0.042388033121824265,0.031987518072128296,0.03864332288503647,0.037838902324438095,0.029765751212835312,0.042110323905944824,0.04720747843384743,0.03539258614182472,0.03727373108267784,0.05556057393550873,0.03163377568125725,0.03458484634757042,0.03698424622416496,0.04442979022860527,0.04047584906220436,0.04427912086248398,0.03380967304110527,0.04369223490357399,0.05215220898389816,0.03392941132187843,0.04013442620635033,0.05033424124121666,0.03096175752580166,0.034618474543094635,0.05323333293199539,0.0331299789249897,0.04140679910778999,0.04596749693155289,0.03325125575065613,0.03744856268167496,0.043958231806755066,0.03573260083794594,0.0458473339676857,0.05624574050307274,0.06335417181253433,0.12172123044729233,0.14026407897472382,0.06059575825929642,0.11061915010213852,0.12849338352680206,0.06744550913572311,0.1048082560300827,0.06506418436765671,0.11083827167749405,0.10740666836500168,0.11875040829181671,0.07590428739786148,0.09648416191339493,0.13825759291648865,0.060335151851177216,0.08893061429262161,0.13648995757102966,0.10898551344871521,0.061720553785562515,0.12893077731132507,0.07074986398220062,0.08839762955904007,0.13077925145626068,0.06475416570901871,0.10805963724851608,0.1387845128774643,0.06440921872854233,0.11312682181596756,0.1503669172525406
3,0.018901249393820763,0.03134318068623543,0.0342869870364666,0.027990471571683884,0.025665728375315666,0.04088251292705536,0.03146251663565636,0.023746924474835396,0.020669223740696907,0.03131570294499397,0.032253995537757874,0.03639398142695427,0.04032948240637779,0.029489589855074883,0.08861496299505234,0.024670178070664406,0.030934933573007584,0.032267097383737564,0.018913177773356438,0.02386743202805519,0.021254519000649452,0.03018329292535782,0.02726050838828087,0.0305141843855381,0.025630725547671318,0.030773000791668892,0.04176914691925049,0.028997890651226044,0.03515675291419029,0.030276991426944733,0.02689460664987564,0.037309639155864716,0.03573042154312134,0.032351650297641754,0.03353358060121536,0.04422006383538246,0.02868601121008396,0.031956568360328674,0.0325281023979187,0.034460075199604034,0.03625963628292084,0.035104405134916306,0.029593946412205696,0.034765295684337616,0.04228869453072548,0.031285956501960754,0.034481555223464966,0.039216842502355576,0.025920802727341652,0.03091719001531601,0.040193941444158554,0.02990819700062275,0.03527716547250748,0.03556866571307182,0.031310997903347015,0.033796291798353195,0.03709709644317627,0.03169729560613632,0.04065810143947601,0.04222966358065605,0.040380705147981644,0.0637974888086319,0.08119063824415207,0.042950794100761414,0.05303763970732689,0.07533268630504608,0.04436854273080826,0.053204379975795746,0.047804538160562515,0.05915430560708046,0.056343771517276764,0.059592925012111664,0.04973147436976433,0.055210571736097336,0.08028212189674377,0.041258301585912704,0.05309411510825157,0.07349531352519989,0.062307413667440414,0.04265043884515762,0.06583745777606964,0.04862470552325249,0.04574290290474892,0.06695245951414108,0.04286043345928192,0.0600062720477581,0.07551256567239761,0.04443034529685974,0.07514385133981705,0.09206046909093857
4,0.006727635860443115,0.02827010117471218,0.030986761674284935,0.023426253348588943,0.018998829647898674,0.05321633815765381,0.03127643093466759,0.017604174092411995,0.014034508727490902,0.02722153067588806,0.029139960184693336,0.031354229897260666,0.03911460563540459,0.026981642469763756,0.0811396911740303,0.01497737318277359,0.02891344204545021,0.028815118595957756,0.013034706935286522,0.01655326969921589,0.013781345449388027,0.027419935911893845,0.02144252508878708,0.02851211279630661,0.017807697877287865,0.025769660249352455,0.04146566614508629,0.026649227365851402,0.032383132725954056,0.025269195437431335,0.02434528060257435,0.03385379537940025,0.032037876546382904,0.030357373878359795,0.030716370791196823,0.04548964649438858,0.02535632997751236,0.029713833704590797,0.029662171378731728,0.030244803056120872,0.03384989872574806,0.03145650401711464,0.02729491889476776,0.03188655525445938,0.03775688260793686,0.029884502291679382,0.032711949199438095,0.03351283818483353,0.02195986546576023,0.02775553986430168,0.03427334129810333,0.027663424611091614,0.031334105879068375,0.030554505065083504,0.029662569984793663,0.03195932134985924,0.03345206007361412,0.029345743358135223,0.03771766647696495,0.03562897443771362,0.0348036102950573,0.0515572652220726,0.06283967941999435,0.03880083188414574,0.04155956581234932,0.05982644483447075,0.038848184049129486,0.041033778339624405,0.04344390705227852,0.04897986352443695,0.04382069781422615,0.048890870064496994,0.042101312428712845,0.04560578614473343,0.06290128827095032,0.037515416741371155,0.045085687190294266,0.058229174464941025,0.0499434694647789,0.03780846297740936,0.0501384399831295,0.04193008691072464,0.03918295353651047,0.05190896615386009,0.03742736205458641,0.04490973427891731,0.057108983397483826,0.03992654010653496,0.0604872927069664,0.06914112716913223
5,0.0016194363124668598,0.02431766502559185,0.029032830148935318,0.03487975150346756,0.009785769507288933,0.058834392577409744,0.031100280582904816,0.010789436288177967,0.015583530068397522,0.02082679234445095,0.02559632621705532,0.03441523760557175,0.03800314664840698,0.024350637570023537,0.07576907426118851,0.00832140352576971,0.027741359546780586,0.026586219668388367,0.008321784436702728,0.008627385832369328,0.006298519670963287,0.023642564192414284,0.013458967208862305,0.026940016075968742,0.008458772674202919,0.012828849256038666,0.041217509657144547,0.023771313950419426,0.029779022559523582,0.020114552229642868,0.021187588572502136,0.03091621585190296,0.03076559118926525,0.02836557663977146,0.028333181515336037,0.04445378854870796,0.020586196333169937,0.027579160407185555,0.02716631442308426,0.027180707082152367,0.032437752932310104,0.02949616126716137,0.024823585525155067,0.030250977724790573,0.0350930392742157,0.028375105932354927,0.0314546562731266,0.030645860359072685,0.017834747210144997,0.024362364783883095,0.03064834326505661,0.025451311841607094,0.028309598565101624,0.028002969920635223,0.027713362127542496,0.030264178290963173,0.03098318539559841,0.027359401807188988,0.03545558825135231,0.031531333923339844,0.03192945197224617,0.046271923929452896,0.053752630949020386,0.0362379290163517,0.03806411847472191,0.0512031652033329,0.036461733281612396,0.03689698502421379,0.04043135792016983,0.04416467621922493,0.039495665580034256,0.04435049742460251,0.038371309638023376,0.04084743931889534,0.05330010876059532,0.035583361983299255,0.040929701179265976,0.05078594386577606,0.044455066323280334,0.03518214449286461,0.044188547879457474,0.03848782554268837,0.03633583337068558,0.045631296932697296,0.034985240548849106,0.03902621194720268,0.04876546934247017,0.03717569261789322,0.052464138716459274,0.05684603750705719
6,0.005680662114173174,0.01662551797926426,0.02716064453125,0.03215764835476875,0.009619530290365219,0.057710450142621994,0.030925560742616653,0.006712064146995544,0.023359639570116997,0.009652676992118359,0.019833551719784737,0.05864657834172249,0.036987610161304474,0.02011662907898426,0.07169454544782639,0.005129293072968721,0.02681494504213333,0.02438361383974552,0.005717701278626919,0.005985971540212631,0.0031762586440891027,0.02361653745174408,0.008173573762178421,0.025295959785580635,0.003774241078644991,0.03571668267250061,0.040988512337207794,0.01763148605823517,0.026735913008451462,0.014599870890378952,0.016780521720647812,0.028134308755397797,0.029976660385727882,0.0254504457116127,0.02604251354932785,0.04368232935667038,0.014272847212851048,0.02502536028623581,0.023861121386289597,0.024221377447247505,0.03146221116185188,0.02797139808535576,0.021334808319807053,0.029064053669571877,0.033248431980609894,0.026325689628720284,0.030456699430942535,0.028940904885530472,0.013063783757388592,0.020328430458903313,0.027909422293305397,0.02278788760304451,0.025210309773683548,0.026321040466427803,0.024969561025500298,0.02813895046710968,0.02871675230562687,0.024395400658249855,0.033543020486831665,0.02836303412914276,0.03003835678100586,0.04277203232049942,0.04792748764157295,0.03437752276659012,0.03617538511753082,0.045602716505527496,0.035098981112241745,0.03490616753697395,0.038026437163352966,0.04079647362232208,0.037326499819755554,0.041540976613759995,0.03608335554599762,0.03776012361049652,0.04677441343665123,0.03432093560695648,0.038242489099502563,0.04581580311059952,0.04116832837462425,0.03359372168779373,0.04058640077710152,0.03634687885642052,0.03451988473534584,0.04191651940345764,0.033689338713884354,0.03617186099290848,0.04362419992685318,0.03521006926894188,0.04749903455376625,0.04928908869624138
7,0.004611880052834749,0.005012648180127144,0.023957889527082443,0.031218817457556725,0.007111518178135157,0.06418679654598236,0.030750898644328117,0.01644272170960903,0.07100268453359604,0.004667444154620171,0.009806918911635876,0.05488218367099762,0.03605233505368233,0.012885856442153454,0.06845667958259583,0.0033314875327050686,0.02564111351966858,0.02135932259261608,0.004268448334187269,0.004399388562887907,0.0020833914168179035,0.02321995235979557,0.005679116118699312,0.023020664229989052,0.002019475447013974,0.02142937481403351,0.04077422246336937,0.005192867945879698,0.02111571654677391,0.01664690114557743,0.011174295097589493,0.025421861559152603,0.029353462159633636,0.020098725333809853,0.023136308416724205,0.04298561438918114,0.008079673163592815,0.02093776874244213,0.018746884539723396,0.02102203294634819,0.030536949634552002,0.026515863835811615,0.016313305124640465,0.02804533578455448,0.031785547733306885,0.023199697956442833,0.029650485143065453,0.027472734451293945,0.008704114705324173,0.015480536967515945,0.025435594841837883,0.019235963001847267,0.021189691498875618,0.024577133357524872,0.02093852125108242,0.02489379048347473,0.025928976014256477,0.01907535456120968,0.03192921355366707,0.025142574682831764,0.028589410707354546,0.04025358334183693,0.04378879815340042,0.0329769104719162,0.03495132550597191,0.04180186241865158,0.034178879112005234,0.03379939869046211,0.03600609675049782,0.038259357213974,0.035980019718408585,0.03960942476987839,0.03451066464185715,0.03557718172669411,0.04214634373784065,0.0333801694214344,0.03635821491479874,0.042260151356458664,0.03893721103668213,0.03251325711607933,0.03799553960561752,0.03482554480433464,0.03323260694742203,0.03941366821527481,0.03289533033967018,0.03453372046351433,0.04004194587469101,0.033765826374292374,0.04419034346938133,0.04431949555873871
8,0.004357074853032827,0.0029705793131142855,0.01661338470876217,0.03084510751068592,0.005732234101742506,0.07649563997983932,0.030574513599276543,0.0129140205681324,0.07427791506052017,0.0033174692653119564,0.013198863714933395,0.04874435067176819,0.035181984305381775,0.015340205281972885,0.0657058134675026,0.0022716112434864044,0.023659905418753624,0.016480620950460434,0.0032063547987490892,0.003113541752099991,0.0015183690702542663,0.02293580397963524,0.0040856883861124516,0.0191203523427248,0.0014496584190055728,0.016860060393810272,0.04057289659976959,0.0021417790558189154,0.009135667234659195,0.09127926826477051,0.007013461086899042,0.022657210007309914,0.02875130996108055,0.012738549150526524,0.0189114548265934,0.04234028980135918,0.0047589936293661594,0.014368526637554169,0.011998491361737251,0.01747555285692215,0.029314547777175903,0.024990703910589218,0.01054257620126009,0.027004659175872803,0.03042668290436268,0.018441077321767807,0.028985345736145973,0.025903044268488884,0.006126244552433491,0.010645361617207527,0.022867435589432716,0.014566960744559765,0.015766462311148643,0.022197123616933823,0.015668412670493126,0.019604559987783432,0.02173389308154583,0.01232621818780899,0.030736491084098816,0.020859120413661003,0.02732844464480877,0.038385361433029175,0.04070695862174034,0.031916044652462006,0.034072570502758026,0.03911741077899933,0.0334613099694252,0.0331183560192585,0.03428203985095024,0.03626156970858574,0.03500810265541077,0.038189541548490524,0.03335903584957123,0.03397024795413017,0.0388755239546299,0.032602693885564804,0.03495965525507927,0.0396089106798172,0.03728265315294266,0.031664952635765076,0.036050450056791306,0.03364168107509613,0.03221004083752632,0.037600431591272354,0.032321348786354065,0.033488404005765915,0.037411242723464966,0.032712437212467194,0.04185166209936142,0.04087197408080101
9,0.0041780024766922,0.0020725589711219072,0.0071756779216229916,0.030612671747803688,0.004929619841277599,0.06504828482866287,0.030394701287150383,0.011619405820965767,0.09817957878112793,0.002492486732080579,0.04598240181803703,0.044501446187496185,0.03436523303389549,0.013367049396038055,0.06320022791624069,0.0016480536432936788,0.019445234909653664,0.009757671505212784,0.002442224184051156,0.002243357477709651,0.0011611166410148144,0.0226507019251585,0.002913952572271228,0.012176009826362133,0.0011780223576352,0.015427147969603539,0.04038307070732117,0.0013489449629560113,0.015114566311240196,0.046107299625873566,0.005539058707654476,0.019553737714886665,0.02802325040102005,0.008358784951269627,0.013643546961247921,0.041738227009773254,0.0035818812903016806,0.007316819857805967,0.007562645711004734,0.01381951104849577,0.026894818991422653,0.02329576388001442,0.006624867208302021,0.0257817842066288,0.028890950605273247,0.013313139788806438,0.028406314551830292,0.024059956893324852,0.004794375970959663,0.007255277130752802,0.020019471645355225,0.00963053572922945,0.010059286840260029,0.018747178837656975,0.010241249576210976,0.01283278688788414,0.015481313690543175,0.007122817914932966,0.029876451939344406,0.014695221558213234,0.026105111464858055,0.036985427141189575,0.03834439441561699,0.03112608939409256,0.03338677063584328,0.03714427351951599,0.03284311294555664,0.03265535458922386,0.03283967822790146,0.03461422771215439,0.03420833498239517,0.03709384799003601,0.03248176351189613,0.03278331086039543,0.03660544380545616,0.0319184847176075,0.0338776670396328,0.03756897151470184,0.0359681136906147,0.030898340046405792,0.03457065299153328,0.03265964984893799,0.03128638118505478,0.03622093424201012,0.031854454427957535,0.03275936469435692,0.035440340638160706,0.03195250406861305,0.04011325538158417,0.03836522623896599
