Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
whole-sweep-50,1.0263128160659107e-06,0.0002118660195264,37,1.878251790041104e-07
rich-sweep-35,1.6974313439277466e-06,0.0011066846782341,44,9.370623274241074e-05
breezy-sweep-51,1.1524278988872538e-06,0.0051300940103828,77,0.0005128269103887227
likely-sweep-57,1.3014578144066036e-06,0.0096603827551007,58,0.0009850427637488409
leafy-sweep-39,2.450165084155742e-06,0.0177901070564985,107,0.0018327856155189678
warm-sweep-89,5.433673209154222e-07,0.0179743003100156,99,0.0018512494963089613
fanciful-sweep-6,5.014374437450897e-06,0.0330830626189708,36,0.0034276434762622538
playful-sweep-3,4.947749403072521e-06,0.0337624512612819,36,0.003498425518870124
glamorous-sweep-73,2.202208179369336e-06,0.0416314899921417,186,0.004317501580751345
rich-sweep-48,2.408851969448733e-06,0.0456546023488044,107,0.0047368803381813845
glorious-sweep-14,6.397917331923964e-06,0.0456489138305187,68,0.0047378213835316116
eternal-sweep-74,2.593743374745827e-06,0.0497890897095203,183,0.005167858525497451
polar-sweep-41,2.0825762021559058e-06,0.0510682575404644,79,0.005300980184464551
whole-sweep-33,7.174006100285624e-07,0.0524014048278331,48,0.005439399331269981
upbeat-sweep-47,5.378596483751608e-07,0.0743090659379959,58,0.007722604056150856
likely-sweep-75,1.5530378732364625e-05,0.0788800865411758,838,0.008204772865850429
autumn-sweep-21,9.714325642562471e-06,0.0907366052269935,122,0.009438253816461899
lyric-sweep-11,0.000395210343413,0.11085756868124,65,0.011683548282223838
sleek-sweep-15,0.0003026111226063,0.1240207329392433,145,0.013019840471638828
helpful-sweep-49,2.1184416709729703e-06,0.1262923926115036,91,0.013141050162292486
lucky-sweep-69,1.8444881106916e-06,0.1519200950860977,177,0.01581193102739879
upbeat-sweep-54,1.995953880395973e-06,0.1560458391904831,288,0.01624198511648375
happy-sweep-40,4.145733328186907e-06,0.1774583011865615,173,0.01847447458889458
ethereal-sweep-55,6.708364253427135e-06,0.185186356306076,95,0.019280898124413356
royal-sweep-84,9.495435733697375e-06,0.1876626312732696,711,0.019540053695053503
dainty-sweep-44,5.77165201320895e-06,0.1885856539011001,182,0.019634821619773833
major-sweep-2,0.0003527720982674,0.1881211400032043,110,0.019719841048140865
proud-sweep-68,2.2348335733113345e-06,0.1964658796787262,166,0.020454759354655277
dazzling-sweep-83,2.334678174520377e-05,0.2009562999010086,610,0.020930880889366555
chocolate-sweep-45,1.7290409459747025e-06,0.2111904621124267,79,0.021989199371092092
fanciful-sweep-52,0.0001429745025234,0.2182814925909042,305,0.022782558320760714
easy-sweep-30,0.0003225730324629,0.2314105480909347,105,0.0242199639646556
glad-sweep-86,1.9735634850803763e-06,0.2383424788713455,204,0.02481914762930286
helpful-sweep-36,3.162562961733784e-06,0.244699940085411,198,0.025482196078443115
comfy-sweep-78,0.000143500699778,0.2472730875015258,979,0.025804340539871587
misty-sweep-23,0.0011950789485126,0.2452578097581863,115,0.025998667012368186
silvery-sweep-90,1.1300912774458992e-05,0.2741055488586426,844,0.02855005501103688
astral-sweep-10,0.0011733913561329,0.2747989594936371,33,0.029069183391899976
classic-sweep-59,0.0005998372216708,0.2928414344787597,402,0.030729068241318196
rosy-sweep-31,0.0003398244443815,0.3184404373168945,310,0.03329708043514409
rich-sweep-61,0.0001375608408125,0.3263234794139862,497,0.03404089516861642
different-sweep-87,1.8695191101869568e-05,0.3363738059997558,857,0.03504265902577364
dashing-sweep-65,3.058320362470113e-05,0.3394509851932525,627,0.035367941997309596
firm-sweep-71,8.552337021683343e-06,0.3675071895122528,612,0.038283561480636955
glowing-sweep-76,0.0013893946306779,0.3867345452308655,518,0.0408184628889949
bumbling-sweep-9,0.0005562877631746,0.3983724713325501,125,0.04171104293330468
zesty-sweep-77,0.0004664129810407,0.4080943167209625,687,0.04268971949565097
stoic-sweep-18,0.0012319701490923,0.4052713513374328,145,0.04268988279737688
pious-sweep-12,0.0015281455125659,0.4071256220340729,144,0.04299702822498339
sandy-sweep-28,0.0019962112419307,0.4107998013496399,106,0.043559946392562256
