Run,Validation Loss,Extrapolation Validation Loss,Parameter
vivid-sweep-90,2.750235580606386e-06,0.11541759222745895,718
charmed-sweep-89,7.18663795851171e-06,0.030394086614251137,477
super-sweep-88,0.00021287747949827465,0.25073519349098206,482
distinctive-sweep-87,2.2506849290948594e-06,0.09101036936044692,578
denim-sweep-86,2.2662870833300985e-06,0.08005016297101974,521
lively-sweep-85,3.8862406654516235e-05,0.8602998852729797,459
solar-sweep-84,3.4813349429896334e-06,0.08868133276700974,841
rich-sweep-83,8.231943866121583e-06,0.2735567092895508,577
restful-sweep-82,6.105040938564343e-06,0.7012936472892761,387
electric-sweep-81,3.3518599593662657e-06,0.1280408352613449,752
driven-sweep-80,1.4512579582515173e-06,0.07299819588661194,404
northern-sweep-79,3.7539932691288418e-06,0.15938153862953186,351
curious-sweep-78,3.24695815834275e-06,0.034611959010362625,642
devout-sweep-77,3.658381501736585e-06,0.28922274708747864,513
good-sweep-76,3.635416533143143e-06,0.09229665994644164,340
fragrant-sweep-75,2.085490677927737e-06,0.09615899622440338,642
sage-sweep-74,0.002538057742640376,0.15105418860912323,656
electric-sweep-73,3.1315476007875982e-06,0.07565981149673462,271
mild-sweep-72,2.640748562043882e-06,0.25804659724235535,664
decent-sweep-71,5.0299768190598115e-06,0.24183355271816256,491
decent-sweep-70,0.0001808951928978786,0.10118518024683,488
gallant-sweep-69,2.8471422410802916e-06,0.0878390297293663,346
lucky-sweep-68,3.4845063510147156e-06,0.33667993545532227,545
frosty-sweep-67,2.3125294319470413e-06,0.14633885025978088,355
frosty-sweep-66,1.483125834056409e-05,0.17319922149181366,906
earthy-sweep-65,2.6605266612023115e-06,0.17196954786777496,485
misty-sweep-64,4.9265113375440706e-06,0.08323079347610474,309
giddy-sweep-63,3.2495122468390036e-06,0.0597149133682251,672
distinctive-sweep-62,1.0004318937717471e-06,0.2104298174381256,539
crimson-sweep-61,6.8053345785301644e-06,0.2093513309955597,419
fine-sweep-60,2.465769739501411e-06,0.688815712928772,377
trim-sweep-59,3.052148258575471e-06,0.24228058755397797,106
decent-sweep-58,2.714067704800982e-06,0.3392433226108551,170
worthy-sweep-57,2.7285066153126536e-06,0.020508600398898125,62
colorful-sweep-56,2.626972445796127e-06,0.4147115647792816,304
wise-sweep-55,2.966179818031378e-05,0.10524284839630128,262
hopeful-sweep-54,0.0003158724575769156,0.10451126098632812,517
denim-sweep-53,3.3622366117924685e-06,0.06699004024267197,289
leafy-sweep-52,3.13141231345071e-06,0.034185729920864105,70
apricot-sweep-51,6.803508586017415e-05,0.16985630989074707,515
