Step,fresh-sweep-20,lively-sweep-19,soft-sweep-18,hopeful-sweep-17,charmed-sweep-16,polar-sweep-15,sandy-sweep-14,toasty-sweep-13,brisk-sweep-12,fluent-sweep-11,zesty-sweep-10,restful-sweep-9,true-sweep-8,genial-sweep-7,revived-sweep-6,elated-sweep-5,glamorous-sweep-4,bright-sweep-3,swept-sweep-2,iconic-sweep-1
0,1.2693802118301392,1.2693802118301392,1.2693802118301392,1.2693802118301392,1.2693802118301392,1.0770760774612427,1.0770760774612427,1.0770760774612427,1.0770760774612427,1.0770760774612427,0.8494284152984619,0.8494284152984619,0.8494284152984619,0.8494284152984619,0.8494284152984619,0.13722960650920868,0.13722960650920868,0.13722960650920868,0.13722960650920868,0.13722960650920868
1,1.2212176322937012,1.2212176322937012,1.2212176322937012,1.2212176322937012,1.2212176322937012,0.8443738222122192,0.8443738222122192,0.8443738222122192,0.8443738222122192,0.8443738222122192,0.46023938059806824,0.46023938059806824,0.46023938059806824,0.46023938059806824,0.46023938059806824,0.15443211793899536,0.15443211793899536,0.15443211793899536,0.15443211793899536,0.15443211793899536
2,1.1723531484603882,1.1723531484603882,1.1723531484603882,1.1723531484603882,1.1723531484603882,0.627051055431366,0.627051055431366,0.627051055431366,0.627051055431366,0.627051055431366,0.2381218820810318,0.2381218820810318,0.2381218820810318,0.2381218820810318,0.2381218820810318,0.1301824003458023,0.1301824003458023,0.1301824003458023,0.1301824003458023,0.1301824003458023
3,1.1230812072753906,1.1230812072753906,1.1230812072753906,1.1230812072753906,1.1230812072753906,0.4442500174045563,0.4442500174045563,0.4442500174045563,0.4442500174045563,0.4442500174045563,0.2143612504005432,0.2143612504005432,0.2143612504005432,0.2143612504005432,0.2143612504005432,0.1203596368432045,0.1203596368432045,0.1203596368432045,0.1203596368432045,0.1203596368432045
4,1.0736759901046753,1.0736759901046753,1.0736759901046753,1.0736759901046753,1.0736759901046753,0.30931156873703003,0.30931156873703003,0.30931156873703003,0.30931156873703003,0.30931156873703003,0.17227284610271454,0.17227284610271454,0.17227284610271454,0.17227284610271454,0.17227284610271454,0.11525457352399826,0.11525457352399826,0.11525457352399826,0.11525457352399826,0.11525457352399826
5,1.0243797302246094,1.0243797302246094,1.0243797302246094,1.0243797302246094,1.0243797302246094,0.2246071994304657,0.2246071994304657,0.2246071994304657,0.2246071994304657,0.2246071994304657,0.14803123474121094,0.14803123474121094,0.14803123474121094,0.14803123474121094,0.14803123474121094,0.11161773651838303,0.11161773651838303,0.11161773651838303,0.11161773651838303,0.11161773651838303
6,0.9754099249839783,0.9754099249839783,0.9754099249839783,0.9754099249839783,0.9754099249839783,0.2003093957901001,0.2003093957901001,0.2003093957901001,0.2003093957901001,0.2003093957901001,0.13563300669193268,0.13563300669193268,0.13563300669193268,0.13563300669193268,0.13563300669193268,0.10867507755756378,0.10867507755756378,0.10867507755756378,0.10867507755756378,0.10867507755756378
7,0.9269692897796631,0.9269692897796631,0.9269692897796631,0.9269692897796631,0.9269692897796631,0.17273098230361938,0.17273098230361938,0.17273098230361938,0.17273098230361938,0.17273098230361938,0.1298666149377823,0.1298666149377823,0.1298666149377823,0.1298666149377823,0.1298666149377823,0.10603887587785721,0.10603887587785721,0.10603887587785721,0.10603887587785721,0.10603887587785721
8,0.8792448043823242,0.8792448043823242,0.8792448043823242,0.8792448043823242,0.8792448043823242,0.155101016163826,0.155101016163826,0.155101016163826,0.155101016163826,0.155101016163826,0.12727682292461395,0.12727682292461395,0.12727682292461395,0.12727682292461395,0.12727682292461395,0.10335326939821243,0.10335326939821243,0.10335326939821243,0.10335326939821243,0.10335326939821243
9,0.8324087262153625,0.8324087262153625,0.8324087262153625,0.8324087262153625,0.8324087262153625,0.14434251189231873,0.14434251189231873,0.14434251189231873,0.14434251189231873,0.14434251189231873,0.12598752975463867,0.12598752975463867,0.12598752975463867,0.12598752975463867,0.12598752975463867,0.10026086866855621,0.10026086866855621,0.10026086866855621,0.10026086866855621,0.10026086866855621
