Run,Validation Loss,Extrapolation Validation Loss,Parameter
fresh-sweep-20,0.000585103640332818,0.6377159953117371,74
lively-sweep-19,0.0005853732000105083,0.6364718079566956,74
soft-sweep-18,0.0005665567587129772,0.6248459219932556,74
hopeful-sweep-17,0.00044871054706163704,0.6414902806282043,74
charmed-sweep-16,0.0004382604674901813,0.6288712024688721,69
polar-sweep-15,8.769746528969335e-08,2.6901276214630343e-05,44
sandy-sweep-14,2.9474014340280522e-08,8.013887331514981e-09,27
toasty-sweep-13,2.5039190276743284e-08,6.84548879803515e-08,10
brisk-sweep-12,0.00029169704066589475,0.05903817340731621,8
fluent-sweep-11,0.00029169750632718205,0.05904000997543335,7
zesty-sweep-10,6.094444415793987e-08,7.677258690819144e-05,35
restful-sweep-9,3.1376313103237414e-08,1.236304251506226e-05,20
true-sweep-8,1.5049641532982605e-08,5.8592458884731975e-08,10
genial-sweep-7,2.7292132998013585e-08,5.501429996002116e-07,10
revived-sweep-6,0.00029169826302677393,0.059037454426288605,7
elated-sweep-5,6.443934097433157e-08,4.257221371517517e-05,24
glamorous-sweep-4,1.0846427045407837e-07,1.262401383428369e-07,15
bright-sweep-3,2.7510210998116236e-08,4.2531720367833266e-08,18
swept-sweep-2,2.3689759132139446e-07,2.4471029291817104e-07,19
iconic-sweep-1,0.00029179989360272884,0.059936054050922394,29
