Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
helpful-sweep-11,2.4994928793375948e-08,1.5050916957193294e-08,9,0.007575773064466402
blooming-sweep-8,2.4736303672057147e-08,1.4859006469691849e-08,10,0.015151515151515152
denim-sweep-12,2.5026388073001733e-08,1.5159423938371226e-08,10,0.015151532524277698
earthy-sweep-6,0.0002919111866503,0.0590713620185852,8,0.017480684848443118
upbeat-sweep-7,3.1511845577369975e-08,2.1924725146504898e-08,11,0.022727678505316155
smooth-sweep-13,2.5007627968420824e-08,1.51649910407059e-08,17,0.06818183443106343
crimson-sweep-9,3.209457943853522e-08,2.3471844912137385e-08,18,0.07575801643476221
ethereal-sweep-4,3.247005153639293e-08,1.9790808991615453e-08,21,0.09848531164855119
vivid-sweep-1,1.9388731686831306e-07,3.151447458549228e-07,21,0.0984949787103179
splendid-sweep-3,2.88453314567505e-08,1.2505455337930016e-08,24,0.12121236729623938
still-sweep-10,4.6212548454604985e-08,3.389414587218198e-06,30,0.1666679528499284
eager-sweep-5,1.9808108220331638e-07,2.1797161764425257e-07,32,0.18182856320258672
proud-sweep-2,2.59600710705854e-07,2.332515350644826e-06,34,0.19698376268147152
good-sweep-14,4.950132392878004e-07,0.0021702253725379,45,0.2803311945528378
lively-sweep-15,7.276154860846873e-07,0.0051777693443,51,0.3257996702414399
dainty-sweep-20,0.0049188905395567,0.5848753452301025,73,0.787008464529582
easy-sweep-19,0.0049635083414614,0.5851550698280334,73,0.7896805643574434
cerulean-sweep-18,0.0056309485808014,0.6323932409286499,73,0.8296526578383725
iconic-sweep-16,0.0070804464630782,0.6824721693992615,68,0.878582338247428
misunderstood-sweep-17,0.0083488523960113,0.6242502927780151,74,1.0
